Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
98,Tyler Higbee,LAR,27,TE,15,15,60,44,73.3%,521,11.8,5,27,61.7,44,8.7,2.9,34.7,0
99,Zach Pascal,IND,26,WR,16,14,71,44,62.0%,629,14.3,5,29,54.9,42,8.9,2.8,39.3,0
100,Gerald Everett,LAR,26,TE,16,7,62,41,66.1%,417,10.2,1,24,51.6,40,6.7,2.6,26.1,1
101,Myles Gaskin,MIA,23,RB,10,7,47,41,87.2%,388,9.5,2,12,59.6,59,8.3,4.1,38.8,2
102,Mecole Hardman,KAN,22,WR,16,8,62,41,66.1%,560,13.7,4,23,54.8,49,9.0,2.6,35.0,2
103,Jonnu Smith,TEN,25,TE,15,14,65,41,63.1%,448,10.9,8,25,55.4,63,6.9,2.7,29.9,0
104,Chris Conley,JAX,28,WR,15,4,63,40,63.5%,471,11.8,2,24,58.7,51,7.5,2.7,31.4,1
105,Michael Pittman Jr.,IND,23,WR,13,8,61,40,65.6%,503,12.6,1,22,50.8,45,8.2,3.1,38.7,0
106,Drew Sample,CIN,24,TE,16,13,53,40,75.5%,349,8.7,1,16,58.5,23,6.6,2.5,21.8,1
107,Michael Thomas,NOR,27,WR,7,5,55,40,72.7%,438,11.0,0,25,61.8,24,8.0,5.7,62.6,0
108,Anthony Firkser,TEN,25,FB,16,1,53,39,73.6%,387,9.9,1,26,58.5,45,7.3,2.4,24.2,0
109,Randall Cobb,HOU,30,WR,10,2,48,38,79.2%,441,11.6,3,20,70.8,34,9.2,3.8,44.1,0
110,Travis Fulgham,PHI,25,WR,13,8,67,38,56.7%,539,14.2,4,26,52.2,42,8.0,2.9,41.5,0
111,Kareem Hunt,CLE,25,RB,16,5,51,38,74.5%,304,8.0,5,19,54.9,26,6.0,2.4,19.0,2
112,Devin Singletary,BUF,23,RB,16,16,50,38,76.0%,269,7.1,0,8,56.0,34,5.4,2.4,16.8,1
113,Jordan Akins,HOU,28,TE,13,5,49,37,75.5%,403,10.9,1,20,65.3,26,8.2,2.8,31.0,0
114,Braxton Berrios,NYJ,25,WR,16,2,55,37,67.3%,394,10.6,3,19,49.1,43,7.2,2.3,24.6,0
115,Chris Carson,SEA,26,RB,12,12,46,37,80.4%,287,7.8,4,14,58.7,29,6.2,3.1,23.9,1
116,Jared Cook,NOR,33,TE,15,5,60,37,61.7%,504,13.6,7,27,53.3,46,8.4,2.5,33.6,1
117,Rashard Higgins,CLE,26,WR,13,6,52,37,71.2%,599,16.2,4,26,69.2,43,11.5,2.8,46.1,3
118,Sammy Watkins,KAN,27,WR,10,9,55,37,67.3%,421,11.4,2,27,65.5,37,7.7,3.7,42.1,1
119,Clyde Edwards-Helaire,KAN,21,RB,13,13,54,36,66.7%,297,8.3,1,12,44.4,26,5.5,2.8,22.8,0
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
120,Tyler Eifert,JAX,30,TE,15,4,60,36,60.0%,349,9.7,2,22,48.3,28,5.8,2.4,23.3,0
121,Zach Ertz,PHI,30,TE,11,11,72,36,50.0%,335,9.3,1,16,38.9,42,4.7,3.3,30.5,0
122,Leonard Fournette,TAM,25,RB,13,3,47,36,76.6%,233,6.5,0,9,48.9,20,5.0,2.8,17.9,0
123,Antonio Gibson,WAS,22,RB,14,10,44,36,81.8%,247,6.9,0,8,43.2,40,5.6,2.6,17.6,1
124,Jakeem Grant,MIA,28,WR,14,4,54,36,66.7%,373,10.4,1,22,53.7,30,6.9,2.6,26.6,2
125,Jonathan Taylor,IND,21,RB,15,13,39,36,92.3%,299,8.3,1,12,51.3,39,7.7,2.4,19.9,1
126,James Conner,PIT,25,RB,13,11,43,35,81.4%,215,6.1,0,10,41.9,18,5.0,2.7,16.5,2
127,Gabriel Davis,BUF,21,WR,16,11,62,35,56.5%,599,17.1,7,27,53.2,56,9.7,2.2,37.4,1
128,David Moore,SEA,25,WR,16,6,47,35,74.5%,417,11.9,6,18,53.2,57,8.9,2.2,26.1,1
129,Golden Tate,NYG,32,WR,12,4,52,35,67.3%,388,11.1,2,19,44.2,39,7.5,2.9,32.3,0
130,Tre'Quan Smith,NOR,24,WR,14,10,50,34,68.0%,448,13.2,4,22,54.0,31,9.0,2.4,32.0,1
131,John Brown,BUF,30,WR,9,8,52,33,63.5%,458,13.9,3,22,57.7,46,8.8,3.7,50.9,0
132,Keke Coutee,HOU,23,WR,8,4,40,33,82.5%,400,12.1,3,19,65.0,64,10.0,4.1,50.0,4
133,N'Keal Harry,NWE,23,WR,14,9,57,33,57.9%,309,9.4,2,15,49.1,30,5.4,2.4,22.1,1
134,Josh Jacobs*,LVR,22,RB,15,15,45,33,73.3%,238,7.2,0,9,46.7,29,5.3,2.2,15.9,2
135,David Johnson,HOU,29,RB,12,12,46,33,71.7%,314,9.5,2,16,54.3,32,6.8,2.8,26.2,2
136,Allen Lazard,GNB,25,WR,10,9,46,33,71.7%,451,13.7,3,23,69.6,72,9.8,3.3,45.1,0
137,Jerick McKinnon,SFO,28,RB,16,4,46,33,71.7%,253,7.7,1,12,45.7,26,5.5,2.1,15.8,0
138,Scott Miller,TAM,23,WR,16,5,53,33,62.3%,501,15.2,3,20,45.3,48,9.5,2.1,31.3,0
139,Deebo Samuel,SFO,24,WR,7,5,44,33,75.0%,391,11.8,1,19,59.1,35,8.9,4.7,55.9,0
140,Willie Snead,BAL,28,WR,13,8,48,33,68.8%,432,13.1,3,23,58.3,34,9.0,2.5,33.2,1
141,Marquez Valdes-Scantling,GNB,26,WR,16,12,63,33,52.4%,690,20.9,6,27,49.2,78,11.0,2.1,43.1,1
142,Melvin Gordon,DEN,27,RB,15,10,44,32,72.7%,158,4.9,1,7,29.5,20,3.6,2.1,10.5,4
143,Cam Sims,WAS,24,WR,16,10,48,32,66.7%,477,14.9,1,18,52.1,50,9.9,2.0,29.8,1
144,Mo Alie-Cox,IND,27,TE,15,6,39,31,79.5%,394,12.7,2,19,66.7,45,10.1,2.1,26.3,1
145,Dan Arnold,ARI,25,TE,16,5,45,31,68.9%,438,14.1,4,24,62.2,59,9.7,1.9,27.4,2
146,Chris Herndon,NYJ,24,TE,16,13,45,31,68.9%,287,9.3,3,17,55.6,26,6.4,1.9,17.9,2
147,Jalen Reagor,PHI,21,WR,11,11,54,31,57.4%,396,12.8,1,19,46.3,55,7.3,2.8,36.0,2
148,Jamaal Williams,GNB,25,RB,14,3,35,31,88.6%,236,7.6,1,11,51.4,29,6.7,2.2,16.9,0
149,KJ Hamler,DEN,21,WR,13,4,56,30,53.6%,381,12.7,3,17,37.5,49,6.8,2.3,29.3,2
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
150,Isaiah McKenzie,BUF,25,WR,16,7,34,30,88.2%,282,9.4,5,17,64.7,46,8.3,1.9,17.6,0
151,Breshad Perriman,NYJ,27,WR,12,12,60,30,50.0%,505,16.8,3,20,36.7,53,8.4,2.5,42.1,0
152,Irv Smith Jr.,MIN,22,TE,13,7,43,30,69.8%,365,12.2,5,22,58.1,36,8.5,2.3,28.1,0
153,James Washington,PIT,24,WR,16,7,56,30,53.6%,392,13.1,5,19,42.9,50,7.0,1.9,24.5,0
154,Kalen Ballage,2TM,25,RB,11,2,37,29,78.4%,166,5.7,0,5,37.8,21,4.5,2.6,15.1,1
155,Lynn Bowden Jr.,MIA,23,WR,10,4,37,28,75.7%,211,7.5,0,13,51.4,22,5.7,2.8,21.1,0
156,Cameron Brate,TAM,29,TE,16,1,34,28,82.4%,282,10.1,2,17,70.6,25,8.3,1.8,17.6,0
157,Trey Burton,IND,29,TE,13,4,47,28,59.6%,250,8.9,3,14,48.9,20,5.3,2.2,19.2,0
158,Isaiah Ford,MIA,24,WR,10,1,44,28,63.6%,276,9.9,0,18,59.1,18,6.3,2.8,27.6,0
159,Jalen Guyton,LAC,23,WR,16,9,55,28,50.9%,511,18.3,3,18,41.8,72,9.3,1.8,31.9,0
160,Duke Johnson,HOU,27,RB,11,5,35,28,80.0%,249,8.9,1,8,54.3,48,7.1,2.5,22.6,3
161,Ronald Jones II,TAM,23,RB,14,13,42,28,66.7%,165,5.9,1,2,31.0,37,3.9,2.0,11.8,2
162,Cole Kmet,CHI,21,TE,16,9,44,28,63.6%,243,8.7,2,12,54.5,38,5.5,1.8,15.2,1
163,James O'Shaughnessy,JAX,28,TE,15,13,38,28,73.7%,262,9.4,0,12,63.2,26,6.9,1.9,17.5,0
164,Tony Pollard,DAL,23,RB,16,2,40,28,70.0%,193,6.9,1,9,42.5,30,4.8,1.8,12.1,0
165,Kyle Rudolph,MIN,31,TE,12,12,37,28,75.7%,334,11.9,1,16,64.9,25,9.0,2.3,27.8,1
166,Miles Sanders,PHI,23,RB,12,11,52,28,53.8%,197,7.0,0,8,34.6,28,3.8,2.3,16.4,4
