Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
1,Stefon Diggs,BUF,30,WR,9,9,97,70,72.2%,834,11.9,7,41,57.7,55,8.6,7.8,92.7,1
2,Tyreek Hill,MIA,29,WR,9,9,97,69,71.1%,1076,15.6,8,50,60.8,69,11.1,7.7,119.6,1
3,A.J. Brown,PHI,26,WR,9,9,92,67,72.8%,1005,15.0,6,46,57.6,59,10.9,7.4,111.7,0
4,Ja'Marr Chase,CIN,23,WR,8,8,93,64,68.8%,697,10.9,4,42,61.3,63,7.5,8.0,87.1,1
5,Puka Nacua,LAR,22,WR,9,9,96,64,66.7%,827,12.9,2,41,57.3,37,8.6,7.1,91.9,1
6,Keenan Allen,LAC,31,WR,8,8,83,62,74.7%,720,11.6,4,32,56.6,42,8.7,7.8,90.0,1
7,Adam Thielen,CAR,33,WR,8,8,76,62,81.6%,610,9.8,4,36,63.2,31,8.0,7.8,76.3,0
8,T.J. Hockenson,MIN,26,TE,9,6,80,60,75.0%,547,9.1,3,31,51.3,29,6.8,6.7,60.8,1
9,Michael Pittman Jr.,IND,26,WR,9,9,86,58,67.4%,593,10.2,3,24,45.3,75,6.9,6.4,65.9,1
10,Travis Kelce,KAN,34,TE,8,8,72,57,79.2%,597,10.5,4,31,63.9,53,8.3,7.1,74.6,0
11,CeeDee Lamb,DAL,24,WR,8,8,72,57,79.2%,824,14.5,3,36,65.3,49,11.4,7.1,103.0,2
12,Amon-Ra St. Brown,DET,24,WR,7,7,78,57,73.1%,665,11.7,3,33,62.8,44,8.5,8.1,95.0,1
13,Davante Adams,LVR,31,WR,9,9,85,51,60.0%,573,11.2,3,34,56.5,32,6.7,5.7,63.7,0
14,Evan Engram,JAX,29,TE,8,7,61,51,83.6%,434,8.5,0,19,55.7,34,7.1,6.4,54.3,2
15,Chris Olave,NOR,23,WR,9,7,85,50,58.8%,563,11.3,2,30,50.6,45,6.6,5.6,62.6,0
16,Terry McLaurin,WAS,28,WR,9,9,71,47,66.2%,568,12.1,2,26,50.7,36,8.0,5.2,63.1,0
17,D.J. Moore,CHI,26,WR,9,9,62,47,75.8%,735,15.6,5,33,62.9,58,11.9,5.2,81.7,1
