Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
18,Garrett Wilson,NYJ,23,WR,8,8,81,46,56.8%,549,11.9,2,22,44.4,68,6.8,5.8,68.6,1
19,Zay Flowers,BAL,23,WR,9,9,62,45,72.6%,472,10.5,1,20,54.8,52,7.6,5.0,52.4,0
20,Alvin Kamara,NOR,28,RB,6,6,49,43,87.8%,272,6.3,1,14,46.9,25,5.6,7.2,45.3,0
21,Christian Kirk,JAX,27,WR,8,8,60,43,71.7%,520,12.1,3,23,60.0,45,8.7,5.4,65.0,1
22,Sam LaPorta,DET,22,TE,8,6,59,43,72.9%,434,10.1,4,22,52.5,45,7.4,5.4,54.3,0
23,Marquise Brown,ARI,26,WR,9,9,77,42,54.5%,440,10.5,4,27,45.5,41,5.7,4.7,48.9,0
24,DeVonta Smith,PHI,25,WR,9,9,60,42,70.0%,533,12.7,4,20,46.7,63,8.9,4.7,59.2,0
25,Jordan Addison,MIN,21,WR,9,6,59,41,69.5%,534,13.0,7,23,52.5,62,9.1,4.6,59.3,0
26,Mark Andrews,BAL,28,TE,8,7,55,41,74.5%,477,11.6,6,25,61.8,38,8.7,5.1,59.6,0
27,Josh Downs,IND,22,WR,9,6,57,41,71.9%,483,11.8,2,20,56.1,59,8.5,4.6,53.7,0
28,Cole Kmet,CHI,24,TE,9,9,50,41,82.0%,374,9.1,5,22,66.0,23,7.5,4.6,41.6,1
29,Chris Godwin,TAM,27,WR,8,8,62,40,64.5%,468,11.7,1,25,48.4,42,7.5,5.0,58.5,0
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
30,Dalton Kincaid,BUF,24,TE,8,6,45,40,88.9%,339,8.5,1,16,73.3,22,7.5,5.0,42.4,1
31,Jakobi Meyers,LVR,27,WR,8,8,62,40,64.5%,442,11.1,5,26,53.2,25,7.1,5.0,55.3,0
32,Jaylen Waddle,MIA,25,WR,8,8,59,40,67.8%,522,13.1,3,27,55.9,35,8.8,5.0,65.3,0
33,Dallas Goedert,PHI,28,TE,9,9,52,38,73.1%,410,10.8,2,23,61.5,49,7.9,4.2,45.6,0
34,Tyler Lockett,SEA,31,WR,8,8,57,38,66.7%,402,10.6,3,21,63.2,36,7.1,4.8,50.3,0
35,Michael Thomas,NOR,30,WR,9,6,62,38,61.3%,439,11.6,1,21,54.8,31,7.1,4.2,48.8,0
36,Kendrick Bourne,NWE,28,WR,8,5,55,37,67.3%,406,11.0,4,15,49.1,36,7.4,4.6,50.8,1
37,Mike Evans,TAM,30,WR,8,8,60,37,61.7%,594,16.1,5,22,55.0,70,9.9,4.6,74.3,0
38,Drake London,ATL,22,WR,8,8,57,37,64.9%,438,11.8,2,24,52.6,32,7.7,4.6,54.8,0
39,Tyler Boyd,CIN,29,WR,8,8,49,36,73.5%,300,8.3,2,14,51.0,32,6.1,4.5,37.5,0
40,Nico Collins,HOU,24,WR,8,5,53,36,67.9%,631,17.5,4,28,60.4,52,11.9,4.5,78.9,0
41,Justin Jefferson,MIN,24,WR,5,5,53,36,67.9%,571,15.9,3,28,64.2,52,10.8,7.2,114.2,1
42,Darren Waller,NYG,31,TE,8,8,51,36,70.6%,384,10.7,1,18,58.8,27,7.5,4.5,48.0,0
43,Brandon Aiyuk,SFO,25,WR,7,7,52,35,67.3%,620,17.7,2,30,65.4,42,11.9,5.0,88.6,0
44,Amari Cooper,CLE,29,WR,8,8,63,35,55.6%,617,17.6,2,25,49.2,59,9.8,4.4,77.1,1
45,DeAndre Hopkins,TEN,31,WR,8,8,64,35,54.7%,564,16.1,3,27,48.4,61,8.8,4.4,70.5,0
46,Curtis Samuel,WAS,27,WR,8,5,43,35,81.4%,332,9.5,2,15,53.5,37,7.7,4.4,41.5,0
47,Jahan Dotson,WAS,23,WR,9,9,57,34,59.6%,360,10.6,3,16,45.6,33,6.3,3.8,40.0,0
48,Jonnu Smith,ATL,28,TE,9,2,42,34,81.0%,422,12.4,2,19,64.3,60,10.0,3.8,46.9,1
49,Calvin Ridley,JAX,29,WR,8,8,58,33,56.9%,451,13.7,2,19,50.0,32,7.8,4.1,56.4,1
50,Dalton Schultz,HOU,27,TE,8,3,50,33,66.0%,350,10.6,4,19,52.0,31,7.0,4.1,43.8,1
51,Courtland Sutton,DEN,28,WR,8,8,46,33,71.7%,380,11.5,6,19,60.9,33,8.3,4.1,47.5,2
52,Logan Thomas,WAS,32,TE,8,8,45,33,73.3%,311,9.4,3,16,57.8,27,6.9,4.1,38.9,1
53,Rachaad White,TAM,24,RB,8,8,34,33,97.1%,279,8.5,0,12,58.8,33,8.2,4.1,34.9,1
54,Tutu Atwell,LAR,24,WR,9,9,54,32,59.3%,374,11.7,3,20,46.3,44,6.9,3.6,41.6,0
55,Jake Ferguson,DAL,24,TE,8,7,43,32,74.4%,328,10.3,3,17,60.5,40,7.6,4.0,41.0,0
56,George Kittle,SFO,30,TE,8,8,43,32,74.4%,443,13.8,3,20,62.8,38,10.3,4.0,55.4,0
57,Christian McCaffrey,SFO,27,RB,8,8,37,32,86.5%,292,9.1,4,18,70.3,35,7.9,4.0,36.5,3
58,David Njoku,CLE,27,TE,8,8,45,32,71.1%,319,10.0,2,13,46.7,41,7.1,4.0,39.9,1
59,K.J. Osborn,MIN,26,WR,9,8,49,32,65.3%,377,11.8,2,18,44.9,36,7.7,3.6,41.9,0
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
60,Kyle Pitts,ATL,23,TE,9,7,53,32,60.4%,389,12.2,1,20,52.8,39,7.3,3.6,43.2,0
61,Rashee Rice,KAN,23,WR,9,3,41,32,78.0%,378,11.8,4,19,58.5,39,9.2,3.6,42.0,0
62,Gabriel Davis,BUF,24,WR,9,9,49,31,63.3%,434,14.0,5,21,59.2,40,8.9,3.4,48.2,1
63,Romeo Doubs,GNB,23,WR,8,7,54,30,55.6%,312,10.4,5,21,42.6,30,5.8,3.8,39.0,0
64,George Pickens,PIT,22,WR,8,8,58,30,51.7%,521,17.4,3,20,43.1,71,9.0,3.8,65.1,1
65,D'Andre Swift,PHI,24,RB,9,8,35,30,85.7%,166,5.5,1,6,48.6,20,4.7,3.3,18.4,3
66,Elijah Moore,CLE,23,WR,8,5,50,29,58.0%,270,9.3,0,12,40.0,33,5.4,3.6,33.8,1
67,Tony Pollard,DAL,26,RB,8,8,35,29,82.9%,190,6.6,0,6,42.9,60,5.4,3.6,23.8,2
68,Jaxon Smith-Njigba,SEA,21,WR,8,1,43,29,67.4%,272,9.4,2,12,44.2,35,6.3,3.6,34.0,0
69,Rhamondre Stevenson,NWE,25,RB,9,9,40,29,72.5%,215,7.4,0,8,35.0,34,5.4,3.2,23.9,0
70,Jaylen Warren,PIT,25,RB,8,0,35,29,82.9%,209,7.2,0,8,48.6,30,6.0,3.6,26.1,1
71,Tank Dell,HOU,24,WR,7,5,43,28,65.1%,454,16.2,4,20,55.8,68,10.6,4.0,64.9,1
72,Jahmyr Gibbs,DET,21,RB,6,3,33,28,84.8%,165,5.9,0,11,54.5,21,5.0,4.7,27.5,0
73,Josh Jacobs,LVR,25,RB,9,9,43,28,65.1%,242,8.6,0,12,53.5,21,5.6,3.1,26.9,1
74,Trey McBride,ARI,24,TE,9,4,40,28,70.0%,287,10.3,1,14,55.0,27,7.2,3.1,31.9,0
75,D.K. Metcalf,SEA,26,WR,7,7,50,28,56.0%,454,16.2,2,22,54.0,50,9.1,4.0,64.9,0
76,Cade Otton,TAM,24,TE,8,8,38,28,73.7%,244,8.7,3,13,44.7,24,6.4,3.5,30.5,1
77,Bijan Robinson,ATL,21,RB,9,8,41,28,68.3%,197,7.0,2,11,39.0,29,4.8,3.1,21.9,2
78,Zach Ertz,ARI,33,TE,7,7,43,27,62.8%,187,6.9,1,8,41.9,17,4.3,3.9,26.7,0
79,Travis Etienne,JAX,24,RB,8,8,35,27,77.1%,266,9.9,1,12,57.1,56,7.6,3.4,33.3,0
80,Hunter Henry,NWE,29,TE,9,7,40,27,67.5%,277,10.3,3,18,65.0,21,6.9,3.0,30.8,0
81,Tee Higgins,CIN,24,WR,7,6,51,27,52.9%,328,12.1,2,19,51.0,33,6.4,3.9,46.9,0
82,Jerry Jeudy,DEN,24,WR,7,5,40,27,67.5%,336,12.4,1,16,45.0,46,8.4,3.9,48.0,1
83,Luke Musgrave,GNB,23,TE,8,7,35,27,77.1%,249,9.2,1,10,48.6,37,7.1,3.4,31.1,0
84,Wan'Dale Robinson,NYG,22,WR,7,2,33,27,81.8%,198,7.3,1,13,54.5,22,6.0,3.9,28.3,0
85,Tyler Conklin,NYJ,28,TE,8,5,35,26,74.3%,293,11.3,0,10,40.0,37,8.4,3.3,36.6,0
86,Tyler Higbee,LAR,30,TE,9,9,43,26,60.5%,286,11.0,0,14,48.8,33,6.7,2.9,31.8,0
87,Rashid Shaheed,NOR,25,WR,9,4,41,26,63.4%,501,19.3,3,17,51.2,58,12.2,2.9,55.7,1
88,Antonio Gibson,WAS,25,RB,9,0,29,25,86.2%,227,9.1,1,12,51.7,41,7.8,2.8,25.2,3
89,Michael Wilson,ARI,23,WR,8,7,33,25,75.8%,401,16.0,2,19,60.6,69,12.2,3.1,50.1,0
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
90,Demario Douglas,NWE,23,WR,8,3,37,24,64.9%,277,11.5,0,13,51.4,42,7.5,3.0,34.6,1
91,Joe Mixon,CIN,27,RB,8,8,30,24,80.0%,158,6.6,0,5,53.3,32,5.3,3.0,19.8,0
92,Chigoziem Okonkwo,TEN,24,TE,8,6,35,24,68.6%,173,7.2,0,8,40.0,20,4.9,3.0,21.6,0
93,Isiah Pacheco,KAN,24,RB,9,8,28,24,85.7%,160,6.7,1,6,50.0,33,5.7,2.7,17.8,0
94,Breece Hall,NYJ,22,RB,8,8,31,23,74.2%,199,8.7,1,7,41.9,50,6.4,2.9,24.9,2
95,Diontae Johnson,PIT,27,WR,5,4,35,23,65.7%,302,13.1,1,16,62.9,39,8.6,4.6,60.4,0
96,Cooper Kupp,LAR,30,WR,5,5,45,23,51.1%,364,15.8,1,14,42.2,49,8.1,4.6,72.8,0
97,Alexander Mattison,MIN,25,RB,9,9,34,23,67.6%,158,6.9,3,5,35.3,47,4.6,2.6,17.6,1
98,Josh Palmer,LAC,24,WR,7,4,39,23,59.0%,377,16.4,1,13,48.7,60,9.7,3.3,53.9,1
99,Jayden Reed,GNB,23,WR,8,7,40,23,57.5%,333,14.5,3,14,47.5,44,8.3,2.9,41.6,1
100,Darius Slayton,NYG,26,WR,9,6,41,23,56.1%,316,13.7,0,15,43.9,34,7.7,2.6,35.1,0
101,Saquon Barkley,NYG,26,RB,6,6,29,22,75.9%,110,5.0,2,9,41.4,32,3.8,3.7,18.3,1
102,James Cook,BUF,24,RB,9,6,26,22,84.6%,211,9.6,1,8,57.7,48,8.1,2.4,23.4,0
103,Michael Gallup,DAL,27,WR,8,8,38,22,57.9%,243,11.0,0,11,47.4,29,6.4,2.8,30.4,0
104,Samaje Perine,DEN,28,RB,8,1,26,22,84.6%,231,10.5,0,10,73.1,29,8.9,2.8,28.9,2
105,Josh Reynolds,DET,28,WR,8,6,31,22,71.0%,397,18.0,3,20,71.0,33,12.8,2.8,49.6,1
106,Tyjae Spears,TEN,22,RB,8,0,30,22,73.3%,124,5.6,0,5,20.0,48,4.1,2.8,15.5,0
107,Robert Woods,HOU,31,WR,6,6,43,22,51.2%,227,10.3,1,15,41.9,25,5.3,3.7,37.8,0
108,Gerald Everett,LAC,29,TE,7,5,25,21,84.0%,167,8.0,2,13,56.0,29,6.7,3.0,23.9,2
109,JuJu Smith-Schuster,NWE,27,WR,7,3,33,21,63.6%,140,6.7,1,8,39.4,20,4.2,3.0,20.0,0
110,Braxton Berrios,MIA,28,WR,9,1,25,20,80.0%,194,9.7,1,12,56.0,22,7.8,2.2,21.6,0
111,Jerome Ford,CLE,24,RB,8,4,28,20,71.4%,139,7.0,2,7,39.3,19,5.0,2.5,17.4,1
112,Taysom Hill,NOR,33,QB,9,5,25,20,80.0%,142,7.1,1,4,52.0,19,5.7,2.2,15.8,0
113,Jonathan Mingo,CAR,22,WR,7,7,38,20,52.6%,200,10.0,0,10,39.5,40,5.3,2.9,28.6,0
114,Darnell Mooney,CHI,26,WR,9,9,34,20,58.8%,307,15.4,1,13,50.0,41,9.0,2.2,34.1,0
115,Rondale Moore,ARI,23,WR,9,4,33,20,60.6%,128,6.4,0,9,39.4,31,3.9,2.2,14.2,0
116,Deebo Samuel,SFO,27,WR,6,6,32,20,62.5%,302,15.1,1,12,53.1,42,9.4,3.3,50.3,1
117,Kadarius Toney,KAN,24,WR,9,2,28,20,71.4%,127,6.4,1,10,46.4,18,4.5,2.2,14.1,1
118,Odell Beckham Jr.,BAL,31,WR,7,4,33,19,57.6%,218,11.5,1,12,48.5,32,6.6,2.7,31.1,1
119,Mike Gesicki,NWE,28,TE,9,5,27,19,70.4%,160,8.4,1,8,51.9,18,5.9,2.1,17.8,0
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
120,Chuba Hubbard,CAR,24,RB,8,3,23,19,82.6%,94,4.9,0,5,30.4,14,4.1,2.4,11.8,1
121,Allen Lazard,NYJ,28,WR,8,8,35,19,54.3%,273,14.4,1,15,48.6,39,7.8,2.4,34.1,0
122,Raheem Mostert,MIA,31,RB,9,9,24,19,79.2%,151,7.9,2,5,50.0,22,6.3,2.1,16.8,4
123,Allen Robinson,PIT,30,WR,8,8,30,19,63.3%,154,8.1,0,5,43.3,31,5.1,2.4,19.3,0
124,Mike Williams,LAC,29,WR,3,3,26,19,73.1%,249,13.1,1,9,53.8,49,9.6,6.3,83.0,0
125,Nelson Agholor,BAL,30,WR,9,2,23,18,78.3%,224,12.4,2,11,56.5,30,9.7,2.0,24.9,1
126,Parris Campbell,NYG,26,WR,9,3,25,18,72.0%,100,5.6,0,2,36.0,17,4.0,2.0,11.1,0
127,Austin Ekeler,LAC,28,RB,5,5,28,18,64.3%,200,11.1,1,9,39.3,39,7.1,3.6,40.0,1
128,Noah Gray,KAN,24,TE,9,5,24,18,75.0%,214,11.9,1,8,58.3,34,8.9,2.0,23.8,0
129,Derrick Henry,TEN,29,RB,8,8,21,18,85.7%,165,9.2,0,4,57.1,46,7.9,2.3,20.6,0
130,Kalif Raymond,DET,29,WR,8,3,23,18,78.3%,231,12.8,1,10,65.2,36,10.0,2.3,28.9,0
131,Miles Sanders,CAR,26,RB,7,5,29,18,62.1%,103,5.7,0,6,34.5,14,3.6,2.6,14.7,2
132,Khalil Shakir,BUF,23,WR,9,4,19,18,94.7%,224,12.4,1,11,84.2,30,11.8,2.0,24.9,0
133,Nick Westbrook-Ikhine,TEN,26,WR,8,4,26,18,69.2%,224,12.4,3,10,61.5,33,8.6,2.3,28.0,0
134,Rashod Bateman,BAL,24,WR,8,4,25,17,68.0%,180,10.6,0,7,52.0,29,7.2,2.1,22.5,0
135,DJ Chark,CAR,27,WR,7,5,34,17,50.0%,229,13.5,3,10,38.2,47,6.7,2.4,32.7,0
136,Brandin Cooks,DAL,30,WR,7,6,29,17,58.6%,165,9.7,2,13,51.7,25,5.7,2.4,23.6,1
137,Mack Hollins,ATL,30,WR,9,3,29,17,58.6%,247,14.5,0,9,48.3,45,8.5,1.9,27.4,0
138,Terrace Marshall Jr.,CAR,23,WR,7,2,29,17,58.6%,123,7.2,0,7,44.8,14,4.2,2.4,17.6,1
139,Jerick McKinnon,KAN,31,RB,9,0,23,17,73.9%,147,8.6,3,8,43.5,27,6.4,1.9,16.3,0
140,Alec Pierce,IND,23,WR,9,9,32,17,53.1%,243,14.3,0,14,53.1,38,7.6,1.9,27.0,0
141,Durham Smythe,MIA,28,TE,9,8,22,17,77.3%,168,9.9,0,10,68.2,22,7.6,1.9,18.7,0
142,Javonte Williams,DEN,23,RB,7,6,22,17,77.3%,78,4.6,1,3,40.9,17,3.5,2.4,11.1,0
143,Ezekiel Elliott,NWE,28,RB,9,0,22,16,72.7%,74,4.6,0,2,27.3,15,3.4,1.8,8.2,1
144,Kylen Granson,IND,25,TE,7,2,28,16,57.1%,170,10.6,1,11,42.9,45,6.1,2.3,24.3,0
145,Hayden Hurst,CAR,30,TE,8,7,28,16,57.1%,170,10.6,1,7,50.0,48,6.1,2.0,21.3,0
146,Skyy Moore,KAN,23,WR,9,6,30,16,53.3%,201,12.6,1,11,50.0,54,6.7,1.8,22.3,0
147,Zack Moss,IND,26,RB,8,5,20,16,80.0%,123,7.7,1,6,40.0,26,6.2,2.0,15.4,0
148,Michael Carter,NYJ,24,RB,8,0,19,15,78.9%,68,4.5,0,4,31.6,10,3.6,1.9,8.5,0
149,Kenneth Gainwell,PHI,24,RB,8,1,18,15,83.3%,74,4.9,0,4,44.4,17,4.1,1.9,9.3,2
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
150,Najee Harris,PIT,25,RB,8,8,21,15,71.4%,101,6.7,0,4,42.9,32,4.8,1.9,12.6,1
151,Justice Hill,BAL,26,RB,8,4,16,15,93.8%,67,4.5,0,2,31.3,24,4.2,1.9,8.4,1
152,Roschon Johnson,CHI,22,RB,7,0,17,15,88.2%,77,5.1,0,2,35.3,9,4.5,2.1,11.0,0
153,Dawson Knox,BUF,27,TE,7,7,28,15,53.6%,102,6.8,1,7,39.3,15,3.6,2.1,14.6,0
154,Trey Palmer,TAM,22,WR,8,2,28,15,53.6%,167,11.1,2,8,39.3,26,6.0,1.9,20.9,1
155,DeVante Parker,NWE,30,WR,7,7,25,15,60.0%,158,10.5,0,7,52.0,22,6.3,2.1,22.6,0
156,Brandon Powell,MIN,28,WR,9,1,22,15,68.2%,157,10.5,1,10,54.5,27,7.1,1.7,17.4,1
157,Jonathan Taylor,IND,24,RB,5,3,18,15,83.3%,131,8.7,1,5,44.4,40,7.3,3.0,26.2,0
158,Kenneth Walker III,SEA,23,RB,8,8,20,15,75.0%,111,7.4,0,5,50.0,36,5.6,1.9,13.9,0
159,Calvin Austin,PIT,24,WR,8,1,25,14,56.0%,162,11.6,1,5,40.0,72,6.5,1.8,20.3,0
160,Noah Brown,HOU,27,WR,4,1,20,14,70.0%,267,19.1,1,8,50.0,75,13.4,3.5,66.8,0
161,Noah Fant,SEA,26,TE,8,8,17,14,82.4%,226,16.1,0,8,76.5,51,13.3,1.8,28.3,0
162,Connor Heyward,PIT,24,TE,8,3,22,14,63.6%,105,7.5,0,5,54.5,12,4.8,1.8,13.1,0
163,Quentin Johnston,LAC,22,WR,8,2,24,14,58.3%,128,9.1,0,9,45.8,20,5.3,1.8,16.0,0
164,Aaron Jones,GNB,29,RB,5,5,22,14,63.6%,147,10.5,1,7,40.9,51,6.7,2.8,29.4,2
165,Brian Robinson Jr.,WAS,24,RB,9,9,18,14,77.8%,137,9.8,2,6,55.6,24,7.6,1.6,15.2,2
166,Marquez Valdes-Scantling,KAN,29,WR,9,9,24,14,58.3%,249,17.8,1,10,50.0,46,10.4,1.6,27.7,1
167,Justin Watson,KAN,27,WR,8,3,25,14,56.0%,276,19.7,0,9,56.0,37,11.0,1.8,34.5,1
168,Dontayvion Wicks,GNB,22,WR,8,2,23,14,60.9%,189,13.5,1,11,60.9,32,8.2,1.8,23.6,1
169,Salvon Ahmed,MIA,25,RB,7,0,20,13,65.0%,63,4.8,0,3,30.0,20,3.2,1.9,9.0,0
170,Matt Breida,NYG,28,RB,9,4,15,13,86.7%,64,4.9,0,2,20.0,22,4.3,1.4,7.1,1
171,Jamison Crowder,WAS,30,WR,9,0,15,13,86.7%,139,10.7,1,7,73.3,26,9.3,1.4,15.4,1
172,Deonte Harty,BUF,26,WR,9,1,17,13,76.5%,113,8.7,1,7,52.9,43,6.6,1.4,12.6,1
173,Austin Hooper,LVR,29,TE,9,4,14,13,92.9%,128,9.8,0,6,71.4,20,9.1,1.4,14.2,0
174,Van Jefferson,2TM,27,,9,6,28,13,46.4%,151,11.6,0,7,35.7,46,5.4,1.4,16.8,0
175,Juwan Johnson,NOR,27,TE,5,5,19,13,68.4%,95,7.3,1,4,47.4,27,5.0,2.6,19.0,0
176,Michael Mayer,LVR,22,TE,9,7,19,13,68.4%,159,12.2,0,8,57.9,32,8.4,1.4,17.7,0
177,Donald Parham,LAC,26,TE,8,6,21,13,61.9%,104,8.0,4,11,57.1,17,5.0,1.6,13.0,0
178,Irv Smith Jr.,CIN,25,TE,6,5,19,13,68.4%,83,6.4,1,4,36.8,11,4.4,2.2,13.8,1
179,Deven Thompkins,TAM,24,WR,8,1,18,13,72.2%,73,5.6,1,5,38.9,26,4.1,1.6,9.1,3
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
180,Kyren Williams,LAR,23,RB,6,5,24,13,54.2%,105,8.1,1,5,41.7,20,4.4,2.2,17.5,1
181,Emari Demercado,ARI,24,RB,8,2,16,12,75.0%,64,5.3,0,2,31.3,13,4.0,1.5,8.0,0
182,Isaiah Hodgins,NYG,25,WR,9,7,19,12,63.2%,120,10.0,1,5,63.2,24,6.3,1.3,13.3,1
183,Jauan Jennings,SFO,26,WR,7,2,21,12,57.1%,181,15.1,0,7,52.4,31,8.6,1.7,25.9,0
184,Jaleel McLaughlin,DEN,23,RB,8,1,14,12,85.7%,65,5.4,2,2,28.6,22,4.6,1.5,8.1,0
185,Josh Oliver,MIN,26,TE,9,7,14,12,85.7%,71,5.9,1,4,42.9,18,5.1,1.3,7.9,1
186,Colby Parkinson,SEA,24,TE,8,1,18,12,66.7%,138,11.5,0,6,55.6,27,7.7,1.5,17.3,0
187,Hunter Renfrow,LVR,28,WR,9,2,19,12,63.2%,124,10.3,0,7,42.1,23,6.5,1.3,13.8,0
188,Christian Watson,GNB,24,WR,5,5,26,12,46.2%,213,17.8,1,8,42.3,77,8.2,2.4,42.6,0
189,Cam Akers,2TM,24,,7,1,12,11,91.7%,70,6.4,0,2,50.0,30,5.8,1.6,10.0,0
190,Tyler Allgeier,ATL,23,RB,9,2,16,11,68.8%,76,6.9,0,3,25.0,46,4.8,1.2,8.4,0
191,AJ Dillon,GNB,25,RB,8,3,14,11,78.6%,103,9.4,0,4,57.1,29,7.4,1.4,12.9,0
192,KhaDarel Hodge,ATL,28,WR,9,2,15,11,73.3%,199,18.1,0,10,73.3,52,13.3,1.2,22.1,1
193,Jalin Hyatt,NYG,22,WR,9,1,19,11,57.9%,214,19.5,0,6,52.6,58,11.3,1.2,23.8,1
194,Trenton Irwin,CIN,28,WR,7,2,13,11,84.6%,101,9.2,0,6,53.8,21,7.8,1.6,14.4,2
195,Marvin Mims,DEN,21,WR,8,2,14,11,78.6%,246,22.4,1,6,50.0,60,17.6,1.4,30.8,1
196,Foster Moreau,NOR,26,TE,7,5,12,11,91.7%,115,10.5,1,6,75.0,23,9.6,1.6,16.4,0
197,Latavius Murray,BUF,33,RB,9,3,12,11,91.7%,79,7.2,0,5,58.3,22,6.6,1.2,8.8,0
198,Adam Trautman,DEN,26,TE,8,6,18,11,61.1%,69,6.3,1,3,44.4,15,3.8,1.4,8.6,0
199,John Bates,WAS,26,TE,9,3,14,10,71.4%,95,9.5,0,3,64.3,35,6.8,1.1,10.6,0
200,Jake Bobo,SEA,25,WR,8,0,13,10,76.9%,135,13.5,2,7,61.5,31,10.4,1.3,16.9,0
201,Dalvin Cook,NYJ,28,RB,8,0,11,10,90.9%,47,4.7,0,1,27.3,15,4.3,1.3,5.9,1
202,Khalil Herbert,CHI,25,RB,5,5,18,10,55.6%,83,8.3,1,5,38.9,23,4.6,2.0,16.6,1
203,Jalen Tolbert,DAL,24,WR,8,3,15,10,66.7%,120,12.0,1,7,66.7,32,8.0,1.3,15.0,1
204,Ameer Abdullah,LVR,30,RB,9,0,14,9,64.3%,75,8.3,0,3,28.6,13,5.4,1.0,8.3,0
205,De'Von Achane,MIA,22,RB,4,1,11,9,81.8%,67,7.4,2,5,63.6,17,6.1,2.3,16.8,1
206,Jamal Agnew,JAX,28,WR,7,1,12,9,75.0%,90,10.0,0,5,66.7,14,7.5,1.3,12.9,1
207,Zach Charbonnet,SEA,22,RB,7,0,12,9,75.0%,52,5.8,0,1,50.0,10,4.3,1.3,7.4,0
208,Kendre Miller,NOR,21,RB,7,0,10,9,90.0%,111,12.3,0,5,60.0,33,11.1,1.3,15.9,0
209,Andrew Ogletree,IND,25,TE,8,6,17,9,52.9%,147,16.3,2,8,47.1,33,8.6,1.1,18.4,0
Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
210,Dameon Pierce,HOU,23,RB,7,7,12,9,75.0%,84,9.3,0,2,50.0,27,7.0,1.3,12.0,0
211,Devin Singletary,HOU,26,RB,8,1,11,9,81.8%,42,4.7,0,3,27.3,11,3.8,1.1,5.3,0
